Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
AR511,AUTONOMOUS MOBILE ROBOTS,DR. RADHE SHYAM SHARMA,3,G,A13-2D,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,CAIR,,
AR520,DESIGN PRACTICUM OF MECHATRONIC SYSTEMS,DR. JAGADEESH KADIYAM,3,E,A10-1B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,CAIR,,
AR521,CONTROL OF ROBOTIC SYSTEMS,PROF. DIPANKAR DEB,3,D,A17-1D,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,CAIR,,
AR522,ROBOT VISION,DR. PRAFUL TEJERAO HAMBARDE,3,H,A13-2D,North Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",5,CAIR,,
AR523,ROBOT MANIPULATORS,DR. AMIT SHUKLA,3,,,,Unknown Slot,,,,
BE201,CELL BIOLOGY,DR. PRASAD KASTURI,4,G,A10-2B,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",2,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE202,BIOCHEMISTRY AND MOLECULAR BIOLOGY,DR. BHASKAR MONDAL,4,B,A10-2B,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SBB,B. Tech 2nd year,"B. Tech (Bio) DC Courses, IC136 or equivalent"
BE303,APPLIED BIOSTATISTICS,DR. KHARERIN HUNGYO,4,A,A10-2B,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",3,SBB,B. Tech 3rd year,B. Tech 1st/2nd/3rd year only
BE305,BIOETHICS & REGULATORY AFFAIRS,DR. TRAYAMBAK BASAK,1,,,,Unknown Slot,,,B. Tech 3rd year,B. Tech (Bio) DC Courses
BE306,GENETIC ENGINEERING: PRINCIPLES AND APPLICATIONS,DR. PRASAD KASTURI,4,D,A10-2B,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",3,SBB,B. Tech 3rd year,"B. Tech (Bio) DC Courses, IC136 or equivalent"
BE308,INTRODUCTION TO BIOMANUFACTURING,DR. EKTA MAKHIJA,4,F,A10-2B,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",3,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE309,BIOSENSING & BIOINSTRUMENTATION,DR. EKTA  MAKHIJA,4,C,A10-2B,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",3,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE310,BIOMATERIALS,DR. SUMIT MURAB,4,E,A10-2B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",3,SBB,B. Tech 3rd year,B. Tech (Bio) DC Courses
BE396,SEMESTER INTERNSHIP,DR. PRASAD KASTURI,6,,,,Unknown Slot,,,B.Tech Bio Engg 4th Year,
BE399,SEMESTER INTERNSHIP,DR. PRASAD KASTURI,9,,,,Unknown Slot,,,B.Tech Bio Engg 4th Year,
BE498P,MAJOR TECHNICAL PROJECT - 1,DR. PRASAD KASTURI,3,,,,Unknown Slot,,,"B. Tech 4th year, Bio/IDD",B. Tech (Bio) DC Courses
BE501,ANATOMY AND PHYSIOLOGY,DR. TRAYAMBAK BASAK,3,C,A17-1D,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SBB,B. Tech 3rd year,
